mof_id,prediction,DFT (unrelaxed),metal_x,n_atoms,Q0.05,Q0.95,Uncertainty
qmof-8990774,-1.004156984,,Co,204,-2.216265582,0.706992696,2.923258278
qmof-4994fff,0.125063021,,Co,234,-2.212981814,2.157109633,4.370091447
qmof-472da64,-0.999902636,,Co,260,-2.390552717,0.76789803,3.158450747
qmof-aeb27bc,-0.921587768,,Co,264,-2.401271118,0.713356649,3.114627767
qmof-6ddfb5e,-0.59098378,,Co,269,-2.212981814,0.623943961,2.836925775
qmof-e7a4b35,-0.906120079,,Co,300,-2.178997429,0.623342821,2.80234025
qmof-8ee91a2,-0.699798973,,Co,312,-2.256572321,0.76898973,3.025562051
qmof-2b54738,0.371202623,,Co,318,-1.345591797,2.157109633,3.50270143
qmof-cccbac5,-0.668722839,,Co,352,-2.38138327,1.773870766,4.155254036
qmof-4c69dae,-0.753454202,,Co,376,-2.38138327,0.791959022,3.173342292
